"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
5,11825010,"מי גבינה, חומצי, נוזלי",24,0.75999999,5.119999886,0.090000004,5.12,1,48,0,0.079999998,103
10,56207228,"בורגול, מבושל עם שעועית לבנה ועגבניות",112.2690506,5.254734039,15.27007294,1.731351376,0.968709648,0,141.1714478,5.083417892,1.535481334,39.71782303
14,11000000,"חלב אם",70,1.029999971,6.889999866,4.380000114,6.89,14,17,0,0.029999999,32
15,11111009,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",60,3.299999952,4.599999905,3,4.6,9,50,0,0.029999999,100
17,11111029,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן",42,3,4.599999905,1,4.6,4,40,1.700000048,0.027000001,180
19,11111059,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",58,3.200000048,4.599999905,3,4.6,10.5,40,1.5,0.028999999,180
20,11111069,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",57,3,4.699999809,3,4.7,11,40,1,0.028999999,100
25,11112219,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",43,3.299999952,5.099999905,1,5.1,3,50,0,0.029999999,100
29,11113009,"משקה חלב בטעם וניל,3% שומן, טרה",85.80000305,2.5,12,3,9.9,9,46,0,0.254999995,109.6480026
31,11114339,"חלב 2% שומן, כולל דל לקטוז, תנובה",51,3.200000048,4.900000095,2,4.6,6,44,0,0.029999999,100
32,11116000,"חלב עזים 4% שומן",69,3.56,4.45,4.14,4.45,11,50,0,0.05,134
33,11116009,"חלב עזים 3.7% שומן, צוריאל",66,3,4.699999809,3.700000048,4.4,11,40,0,0.048,110
34,11116010,"חלב כבשים 7% שומן",108,6,5.400000095,7,4.45,27,44,0,0.101000004,193
35,11116020,"חלב נאקות (גמלים)",58,3.099999905,4.699999809,3,4.7,"",61,0,0.200000003,116
36,11121100,"חלב מיובש, מלא, משוחזר",61,3.24000001,4.730000019,3.289999962,4.73,12,49,0,0.059999999,115
37,11122300,"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A",358,35.09999847,52.18999863,0.720000029,52.19,18,549,0,0.310000002,1231
38,11122310,"מי גבינה מיובשים, אבקה, DRIED WHEY",339,11.72999954,73.44999695,0.540000021,73.45,3,968,0,1.24000001,2054
39,11220100,"חלב מרוכז, ממותק, לא מדולל",321,7.91,54.4,8.7,54.4,34,127,0,0.19,284
